,Кол-во генов в кластере,Z_max,Z_mean,Кол-во родов в кластере,Имя гена в кластере,Кол-во участков с Z-DNA в промоутере
187,35,3428.529,1376.0813400000002,34,MULTISPECIES: 3-dehydroquinate synthase [Vibrio],5
188,35,3428.529,1452.1888250000002,34,hydroxymethylbilane synthase [Vibrio cholerae],8
189,35,13713.99,6000.2058,30,MULTISPECIES: 3-oxoacyl-ACP reductase FabG [Serratia],3
190,35,3428.529,1457.4635555555553,31,MULTISPECIES: YqgE/AlgH family protein [Serratia],9
191,35,3700.972,1435.7638299999999,23,MULTISPECIES: 30S ribosomal protein S12 [Enterobacterales],10
192,35,10616.46,2934.46098,34,phosphomethylpyrimidine synthase ThiC [Vibrio cholerae],10
193,35,13713.99,3389.4009173913046,33,MULTISPECIES: uroporphyrinogen decarboxylase [Serratia],23
194,35,13713.99,4529.15915,34,XTP/dITP diphosphatase [Vibrio furnissii],4
195,35,3428.529,1616.3625000000002,32,MULTISPECIES: ADP-forming succinate--CoA ligase subunit beta [Serratia],6
196,35,1800.518,985.7703333333334,31,MULTISPECIES: citrate synthase [Serratia],3
197,35,3428.529,1599.3382,33,MULTISPECIES: UDP-3-O-acyl-N-acetylglucosamine deacetylase [Serratia],4
198,35,38833.58,15817.330409090908,27,MULTISPECIES: 30S ribosomal protein S16 [Serratia],11
199,35,23787.35,5614.1110714285705,34,MULTISPECIES: 3-phosphoserine/phosphohydroxythreonine transaminase [Vibrio],14
200,35,3135.789,1108.3424181818182,34,archaetidylserine decarboxylase [Vibrio furnissii],11
201,35,13713.99,3958.5247000000004,34,methionyl-tRNA formyltransferase [Vibrio furnissii],10
202,35,,,26,MULTISPECIES: 50S ribosomal protein L27 [Yersiniaceae],0
203,35,37878.25,5845.32395,33,"MULTISPECIES: (2E,6E)-farnesyl-diphosphate-specific ditrans,polycis-undecaprenyl-diphosphate synthase [Enterobacteriaceae]",8
204,35,3174.797,1605.5574444444444,33,MULTISPECIES: 16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA [Kosakonia],9
205,35,8922.646,2178.69165,32,MULTISPECIES: ATP-dependent zinc metalloprotease FtsH [Serratia],8
206,35,8323.257,3502.2201999999997,33,MULTISPECIES: glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit [Kosakonia],3
207,35,13713.99,3469.76866,31,MULTISPECIES: recombinase RecA [Serratia],5
208,35,10635.4,2652.2932159999996,32,MULTISPECIES: succinate dehydrogenase flavoprotein subunit [Serratia],25
209,35,138924.1,24996.423628571432,22,MULTISPECIES: 50S ribosomal protein L14 [Bacteria],7
210,35,28780.5,3720.511025,31,MULTISPECIES: ribonuclease T [Kosakonia],12
211,35,1202.592,868.7878705882354,24,MULTISPECIES: 50S ribosomal protein L21 [Aeromonas],17
212,35,28780.5,5578.788483333334,33,MULTISPECIES: endonuclease III [Serratia],18
213,35,3428.529,1131.7021125,32,MULTISPECIES: Tol-Pal system protein TolQ [Serratia],8
214,35,50885.97,5009.507435714287,31,"MULTISPECIES: 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [Enterobacterales]",14
215,35,198956.2,20895.62669090909,34,MULTISPECIES: 4-hydroxythreonine-4-phosphate dehydrogenase PdxA [Vibrio],11
216,35,941334.2,314490.4876,32,MULTISPECIES: type II 3-dehydroquinate dehydratase [Serratia],3
217,35,32704.39,6743.165930769231,34,oxygen-dependent coproporphyrinogen oxidase [Vibrio cholerae],13
218,35,3428.529,1468.12636,34,MULTISPECIES: excinuclease ABC subunit UvrC [Vibrio],10
219,35,980.8116,903.0234399999999,33,MULTISPECIES: transcription termination factor NusA [Serratia],5
220,35,3700.972,1441.7324,34,MULTISPECIES: protein translocase subunit SecD [Vibrio],5
221,35,4545.701,2477.9864249999996,29,MULTISPECIES: ATP-dependent Clp endopeptidase proteolytic subunit ClpP [Kosakonia],8
222,35,8922.646,2797.5989391304347,34,proline--tRNA ligase [Vibrio cholerae],23
223,35,138924.1,59982.029,30,MULTISPECIES: 50S ribosomal protein L9 [Serratia],12
224,35,783.823,775.2230999999999,24,MULTISPECIES: 30S ribosomal protein S13 [Aeromonas],4
225,35,13713.99,3149.327566666667,33,MULTISPECIES: 16S rRNA (cytidine(1402)-2'-O)-methyltransferase [Kosakonia],15
226,35,883.5764,767.2481,31,MULTISPECIES: ATP-dependent protease ATP-binding subunit ClpX [Serratia],4
227,35,908.3955,895.98595,29,MULTISPECIES: 50S ribosomal protein L11 [Aeromonas],2
228,35,1248.717,851.4053300000002,34,MULTISPECIES: oligoribonuclease [Vibrio],10
229,35,12723.6,4224.624325,33,MULTISPECIES: 16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH [Serratia],4
230,35,3403.051,1349.7994571428571,33,MULTISPECIES: replicative DNA helicase [Serratia],7
231,35,612.3848,612.3848,33,MULTISPECIES: endopeptidase La [Serratia],1
232,35,1202.592,983.3608,33,MULTISPECIES: ferrochelatase [Serratia],7
233,35,37878.25,4837.268646153846,31,MULTISPECIES: tRNA (guanosine(37)-N1)-methyltransferase TrmD [Aeromonas],13
234,35,2752.447,1409.1696,27,MULTISPECIES: 50S ribosomal protein L24 [Aeromonas],3
235,35,2752.447,1022.6020380952382,34,MULTISPECIES: 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Vibrio],21
236,35,17253.57,8900.2127,32,MULTISPECIES: IMP dehydrogenase [Serratia],2
237,35,783.823,714.3355499999999,32,MULTISPECIES: thioredoxin TrxA [Enterobacterales],4
238,35,1116.621,879.95782,28,MULTISPECIES: 30S ribosomal protein S14 [Kosakonia],10
239,35,1122.597,916.2895571428571,29,MULTISPECIES: peptide deformylase [Enterobacteriaceae],7
240,35,17718.99,2487.006352173913,32,MULTISPECIES: ribosome recycling factor [Enterobacteriaceae],23
241,35,28780.5,4083.914822222222,34,1-deoxy-D-xylulose-5-phosphate synthase [Vibrio furnissii],9
242,35,2779.551,1165.0577714285714,34,aminodeoxychorismate/anthranilate synthase component II [Vibrio cholerae],7
243,35,10894.72,2844.8053571428572,28,MULTISPECIES: 30S ribosomal protein S15 [Serratia],7
244,35,138924.1,14227.320384210523,33,MULTISPECIES: 3-deoxy-manno-octulosonate cytidylyltransferase [Enterobacteriaceae],19
245,35,3428.529,1765.5063699999998,30,MULTISPECIES: protein-export chaperone SecB [Serratia],10
246,35,3700.972,1007.3644937500001,33,MULTISPECIES: tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA [Serratia],16
247,35,3174.797,2334.201725,33,MULTISPECIES: octaprenyl diphosphate synthase [Enterobacteriaceae],4
248,35,3428.529,1458.5944923076922,34,succinyl-diaminopimelate desuccinylase [Vibrio furnissii],13
249,35,28780.5,3095.64406875,34,MULTISPECIES: phosphoribosylamine--glycine ligase [Vibrio],16
250,35,980.8116,980.8116,34,anhydro-N-acetylmuramic acid kinase [Vibrio cholerae],1
251,35,38833.58,8753.64355,34,MULTISPECIES: pantetheine-phosphate adenylyltransferase [Vibrio],14
252,35,3428.529,2524.766777777778,34,dihydropteroate synthase [Vibrio furnissii],9
253,35,9492.083,4957.2313,26,MULTISPECIES: rod shape-determining protein MreB [Enterobacterales],3
254,35,3993.322,1181.3598333333337,30,MULTISPECIES: recombination mediator RecR [Serratia],12
255,35,3428.529,1634.0546375000001,33,MULTISPECIES: D-aminoacyl-tRNA deacylase [Vibrio],8
256,35,8485.756,1190.4242318181819,29,MULTISPECIES: 30S ribosomal protein S20 [Proteobacteria],22
257,35,16271.57,3798.634063636363,30,MULTISPECIES: RNase adapter RapZ [Serratia],11
258,35,980.8116,873.1593692307692,29,MULTISPECIES: 50S ribosomal protein L4 [Bacteria],13
259,35,29467.88,4888.983692307693,32,MULTISPECIES: branched-chain amino acid transaminase [Aeromonas],13
260,35,28780.5,14948.5605,28,MULTISPECIES: 50S ribosomal protein L32 [Serratia],2
261,35,1057.108,874.918,30,MULTISPECIES: ribonuclease III [Serratia],3
262,35,2752.447,1193.73814,31,MULTISPECIES: 50S ribosomal protein L19 [Enterobacteriaceae],5
263,35,3428.529,1590.3554095238096,27,MULTISPECIES: 50S ribosomal protein L23 [Bacteria],21
264,35,2752.447,1207.6843000000001,18,MULTISPECIES: translation initiation factor IF-1 [Enterobacterales],5
265,35,4914.146,1494.7420714285713,31,MULTISPECIES: nucleoside-diphosphate kinase [Serratia],7
266,35,138924.1,13126.857384615385,33,MULTISPECIES: (d)CMP kinase [Serratia],13
267,35,13713.99,2600.2472666666667,34,MULTISPECIES: DNA polymerase III subunit alpha [Vibrio],12
268,35,38833.58,3533.165670588235,24,MULTISPECIES: DNA-directed RNA polymerase subunit omega [Aeromonas],34
269,35,13713.99,5307.840533333333,26,MULTISPECIES: DNA-binding protein HU-beta [Aeromonas],3
270,35,2997.09,1940.3332,32,MULTISPECIES: transcriptional regulator BolA [Enterobacterales],2
271,35,48804.94,8077.123125000001,28,MULTISPECIES: 50S ribosomal protein L15 [Bacteria],8
272,35,4914.146,1321.8038153846153,34,DNA polymerase I [Vibrio furnissii],13
273,35,2752.447,2752.447,34,MULTISPECIES: ribonuclease R [Vibrio],1
274,35,3428.529,2470.3585000000003,34,MULTISPECIES: 23S rRNA pseudouridine(1911/1915/1917) synthase RluD [Vibrio],2
275,35,74987.35,9161.31229,34,MULTISPECIES: tyrosine recombinase XerC [Vibrio],10
276,35,2160.913,1054.934857142857,33,MULTISPECIES: ribosome-associated heat shock protein Hsp15 [Kosakonia],14
277,35,915.9191,828.99238,33,MULTISPECIES: glutamyl-tRNA reductase [Serratia],5
278,35,904.32,820.9644000000001,34,MULTISPECIES: 16S rRNA (guanine(527)-N(7))-methyltransferase RsmG [Acinetobacter],4
279,35,4860.206,2131.777088888889,18,MULTISPECIES: 50S ribosomal protein L34 [Bacteria],18
280,35,13713.99,2983.10155,34,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [Vibrio cholerae],16
281,35,2173.083,1749.5090846153846,27,MULTISPECIES: cell division protein FtsZ [Serratia],13
282,35,3428.529,1119.0162833333331,32,MULTISPECIES: 23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB [Serratia],12
283,35,28780.5,3844.7893142857147,34,tetraacyldisaccharide 4'-kinase [Vibrio furnissii],14
284,35,980.8116,980.8116,27,MULTISPECIES: integration host factor subunit beta [Enterobacteriaceae],1
285,35,13713.99,3392.8772000000004,34,cell division protein ZapE [Vibrio furnissii],6
286,35,8636.407,2094.11394,34,MULTISPECIES: bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU [Vibrio],20
287,35,783.823,783.823,30,MULTISPECIES: F0F1 ATP synthase subunit epsilon [Serratia],4
288,35,2752.447,1533.78505,26,MULTISPECIES: integration host factor subunit alpha [Enterobacteriaceae],4
289,35,3428.529,1677.2260666666668,34,methionine synthase [Acinetobacter bouvetii],3
290,35,1848.205,1089.1140500000001,34,MULTISPECIES: rRNA large subunit pseudouridine synthase E [Acinetobacter],12
291,35,138924.1,16957.537263636365,32,MULTISPECIES: ribosome silencing factor [Kosakonia],11
292,35,10894.72,1920.1611888888885,34,MULTISPECIES: exopolyphosphatase [Vibrio],18
293,35,4576.539,1900.2914500000004,32,MULTISPECIES: glycine cleavage system protein GcvH [Kosakonia],12
294,35,38833.58,9623.492325000001,34,murein biosynthesis integral membrane protein MurJ [Vibrio cholerae],12
295,35,38833.58,21131.054500000002,27,MULTISPECIES: co-chaperone GroES [Enterobacteriaceae],2
296,35,883.5764,768.797125,33,MULTISPECIES: CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [Aeromonas],4
297,35,68804.91,24133.714060000002,33,MULTISPECIES: GTP diphosphokinase [Enterobacteriaceae],10
298,35,883.5764,688.89168,34,MULTISPECIES: 23S rRNA pseudouridine(955/2504/2580) synthase RluC [Vibrio],5
299,35,13713.99,4659.581099999999,34,MULTISPECIES: ACP S-malonyltransferase [Vibrio],4
300,35,908.3955,837.50935,31,MULTISPECIES: acetyl-CoA carboxylase carboxyl transferase subunit alpha [Serratia],2
301,35,13713.99,3520.7371142857146,33,MULTISPECIES: uracil-DNA glycosylase [Serratia],7
302,35,2943.461,1184.70108,34,MULTISPECIES: glycine--tRNA ligase subunit beta [Vibrio],10
303,35,13713.99,3366.61185,34,endolytic transglycosylase MltG [Vibrio cholerae],8
304,35,8782.157,1465.6666846153846,34,bifunctional tetrahydrofolate synthase/dihydrofolate synthase [Vibrio cholerae],13
305,35,980.8116,918.2570000000001,34,hydroxyacylglutathione hydrolase [Vibrio cholerae],4
306,35,13713.99,2167.02977,34,MULTISPECIES: tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE [Vibrio],10
307,35,3428.529,1589.4805142857144,33,MULTISPECIES: orotate phosphoribosyltransferase [Serratia],7
308,35,3858.662,1165.4439499999999,34,MULTISPECIES: 50S ribosomal protein L11 methyltransferase [Acinetobacter],10
309,35,28780.5,4981.385269230769,31,MULTISPECIES: UvrY/SirA/GacA family response regulator transcription factor [Serratia],13
