# Species	Genes	Alg.-Conn.	GCF_000009365.1_ASM936v1_protein.faa	GCF_000012305.1_ASM1230v1_protein.faa	GCF_000299335.2_ASM29933v2_protein.faa	GCF_000300005.1_ASM30000v1_protein.faa	GCF_001298525.1_ASM129852v1_protein.faa	GCF_001606025.1_ASM160602v1_protein.faa	GCF_001642805.2_ASM164280v2_protein.faa	GCF_001658025.2_ASM165802v2_protein.faa	GCF_001683395.1_ASM168339v1_protein.faa	GCF_001753085.1_ASM175308v1_protein.faa	GCF_001995825.2_ASM199582v2_protein.faa	GCF_002196515.1_ASM219651v1_protein.faa	GCF_002208765.2_ASM220876v2_protein.faa	GCF_002215585.1_ASM221558v1_protein.faa	GCF_002240035.1_ASM224003v1_protein.faa	GCF_002327105.1_ASM232710v1_protein.faa	GCF_003957745.1_ASM395774v1_protein.faa	GCF_004089895.1_ASM408989v1_protein.faa	GCF_004571195.1_ASM457119v1_protein.faa	GCF_004768745.1_ASM476874v1_protein.faa	GCF_006364355.1_ASM636435v1_protein.faa	GCF_007361795.1_ASM736179v1_protein.faa	GCF_007795095.1_ASM779509v1_protein.faa	GCF_008330085.1_ASM833008v1_protein.faa	GCF_008369605.1_ASM836960v1_protein.faa	GCF_009914475.1_ASM991447v1_protein.faa	GCF_010587385.1_ASM1058738v1_protein.faa	GCF_010918895.1_ASM1091889v1_protein.faa	GCF_011764505.1_ASM1176450v1_protein.faa	GCF_015167415.1_ASM1516741v1_protein.faa	GCF_016026735.1_ASM1602673v1_protein.faa	GCF_016127195.1_ASM1612719v1_protein.faa	GCF_016834455.1_ASM1683445v1_protein.faa	GCF_017309605.1_ASM1730960v1_protein.faa	GCF_017310215.1_ASM1731021v1_protein.faa	GCF_017354925.1_ASM1735492v1_protein.faa	GCF_018139125.1_ASM1813912v1_protein.faa	GCF_018324105.1_ASM1832410v1_protein.faa	GCF_019343495.1_ASM1934349v1_protein.faa	GCF_019670705.1_ASM1967070v1_protein.faa	GCF_020149575.1_ASM2014957v1_protein.faa	GCF_020405345.1_ASM2040534v1_protein.faa	GCF_900187015.1_50465_F01_protein.faa	GCF_900637545.1_51438_G01_protein.faa	GCF_904848165.1_ASM90484816v1_protein.faa
45	72	0.214	WP_008930504.1,WP_011588406.1	WP_011281297.1	WP_008732971.1	WP_014996495.1	WP_062534155.1	WP_010197981.1	WP_004940327.1,WP_004847623.1	WP_002891893.1,WP_002438074.1	WP_002891893.1,WP_002438074.1	WP_011213200.1	WP_004738609.1,WP_017056636.1	WP_021020598.1,WP_088133439.1	WP_011514651.1	WP_033537934.1,WP_033539833.1	WP_094090327.1	WP_096008039.1,WP_096296768.1	WP_126166064.1,WP_126165812.1	WP_023478250.1,WP_023481188.1	WP_028385984.1	WP_004940327.1,WP_004847623.1	WP_038150877.1,WP_004729026.1	WP_058500529.1	WP_132998728.1	WP_002891893.1,WP_002438074.1	WP_000767166.1,WP_000717795.1	WP_004650081.1	WP_164649095.1,WP_164648875.1	WP_004281042.1	WP_173237937.1	WP_002891893.1,WP_002438074.1	WP_004847623.1,WP_004949337.1	WP_033114048.1,WP_005308848.1	WP_011759051.1,WP_011758768.1	WP_004940327.1,WP_004847623.1	WP_011704615.1,WP_005308848.1	WP_207322210.1,WP_207320781.1	WP_004281042.1	WP_004650081.1	WP_004281042.1	WP_100142136.1,WP_221049609.1	WP_005904813.1,WP_005895417.1	WP_005308655.1,WP_005308848.1	WP_004847623.1,WP_004949337.1	WP_011704615.1,WP_005308848.1	WP_131669382.1
45	49	0.18	WP_011587716.1	WP_011280947.1	WP_008740030.1	WP_014996077.1	WP_062535233.1	WP_062845291.1	WP_004936793.1	WP_043955685.1	WP_017459456.1	WP_015444870.1	WP_017055929.1	WP_088133705.1	WP_011514278.1	WP_088903760.1	WP_094091961.1	WP_096299254.1	WP_126168311.1	WP_054804260.1	WP_028385972.1	WP_004936793.1,WP_060558279.1	WP_004724084.1	WP_143866180.1	WP_144890651.1	WP_043955685.1,WP_149288273.1	WP_001887866.1	WP_005180729.1	WP_164649226.1	WP_071320869.1	WP_173236019.1,WP_226905671.1	WP_061498794.1	WP_054305547.1	WP_033116044.1	WP_203325927.1	WP_004936793.1	WP_011707639.1	WP_207325429.1	WP_076033164.1	WP_005006829.1	WP_004281391.1	WP_221049861.1	WP_042042028.1	WP_043172002.1	WP_061799165.1,WP_095095225.1	WP_042653391.1	WP_201498859.1
45	48	0.144	WP_011587472.1	WP_011280987.1	WP_008734292.1	WP_014992527.1	WP_062533722.1	WP_062845331.1	WP_019453299.1	WP_035887044.1,WP_064567130.1	WP_017459089.1	WP_010947724.1	WP_004735319.1	WP_021019067.1	WP_011514323.1	WP_033539332.1	WP_094091646.1	WP_096297286.1	WP_126169124.1	WP_023480382.1	WP_028386118.1	WP_015376455.1	WP_004728675.1	WP_143867240.1	WP_144892430.1	WP_007372830.1,WP_007374549.1	WP_000170058.1	WP_104513240.1	WP_164647322.1	WP_163164743.1	WP_173237675.1	WP_017459089.1	WP_015670673.1	WP_033114966.1,WP_042031539.1	WP_203325731.1	WP_033651447.1	WP_016352264.1	WP_207321665.1	WP_004934278.1	WP_005013176.1	WP_004644973.1	WP_025888534.1	WP_042043656.1	WP_005306289.1	WP_095095529.1	WP_042654549.1	WP_201498821.1
45	47	0.441	WP_011587590.1	WP_011279683.1	WP_008739399.1	WP_014993089.1	WP_062535076.1	WP_062843853.1	WP_019454160.1	WP_064568139.1	WP_017460005.1	WP_015444837.1	WP_077680125.1	WP_088134319.1	WP_011512783.1	WP_088904450.1,WP_088905160.1	WP_094090317.1	WP_096296665.1	WP_126166435.1	WP_023478268.1	WP_028386630.1	WP_004940253.1	WP_004726673.1	WP_143865387.1	WP_144891928.1	WP_079516842.1	WP_032482133.1	WP_016659620.1	WP_164647646.1	WP_004813436.1	WP_173238420.1	WP_193821928.1	WP_054305411.1	WP_042032326.1	WP_203326619.1	WP_004940253.1	WP_206817773.1	WP_228289692.1	WP_212515283.1	WP_005007105.1	WP_219308229.1	WP_221050850.1,WP_044733989.1	WP_224430526.1	WP_005301832.1	WP_095096079.1	WP_042653536.1	WP_201497847.1
45	47	0.345	WP_144412618.1	WP_083756025.1	WP_008739926.1	WP_041717737.1	WP_084785896.1	WP_084387229.1,WP_007394842.1	WP_019455023.1	WP_007373088.1	WP_017457877.1	WP_011946027.1	WP_004739521.1	WP_088134172.1	WP_011512769.1,WP_011513685.1	WP_033539822.1	WP_094090528.1	WP_096297606.1	WP_011759041.1	WP_023480416.1	WP_028387399.1	WP_004932951.1	WP_004728875.1	WP_143868418.1	WP_144890096.1	WP_007373088.1	WP_000071973.1	WP_005181030.1	WP_164647436.1	WP_163167661.1	WP_173237378.1	WP_086870449.1	WP_054305905.1	WP_042030734.1	WP_203326264.1	WP_025301524.1	WP_011704644.1	WP_207322200.1	WP_004941885.1	WP_005006542.1	WP_005105275.1	WP_100141999.1	WP_224431306.1	WP_017763995.1	WP_061794912.1	WP_042652132.1	WP_201497858.1
45	47	0.343	WP_011587333.1	WP_011279833.1	WP_008734631.1	WP_041716604.1	WP_062533638.1	WP_062843964.1	WP_019453297.1	WP_043955367.1	WP_065369960.1	WP_010946325.1	WP_017055884.1,WP_017055311.1	WP_021019069.1	WP_011512884.1	WP_033540094.1	WP_094090324.1	WP_096300672.1	WP_126165975.1	WP_023480227.1	WP_028385987.1	WP_135637737.1	WP_004728677.1,WP_004728499.1	WP_143867145.1	WP_144890789.1	WP_007372832.1	WP_000013845.1	WP_005177046.1	WP_164647324.1	WP_004812299.1	WP_173237940.1	WP_065369960.1	WP_015670675.1	WP_041209522.1	WP_203326185.1	WP_160203927.1	WP_016352301.1	WP_207322127.1	WP_004936609.1	WP_005010682.1	WP_004280134.1	WP_221050660.1	WP_224431486.1	WP_005306463.1	WP_061800583.1	WP_042654472.1	WP_201497719.1
45	47	0.34	WP_011587907.1	WP_011280600.1	WP_008737303.1	WP_014995787.1	WP_062536038.1	WP_084387268.1	WP_063919683.1,WP_063918573.1	WP_064568418.1	WP_020456568.1	WP_015444499.1	WP_017056616.1	WP_021020563.1	WP_011513387.1	WP_033540797.1	WP_094090726.1	WP_096297009.1	WP_164551264.1	WP_023480311.1	WP_028387354.1	WP_033632104.1	WP_004729066.1	WP_185967266.1	WP_144891334.1	WP_007373175.1	WP_001281964.1	WP_104513189.1	WP_164649124.1	WP_004813745.1	WP_173237222.1	WP_020456568.1	WP_054305207.1	WP_042033206.1	WP_203325808.1	WP_033632104.1,WP_160204385.1	WP_011707563.1	WP_207321092.1	WP_004933924.1	WP_005006739.1	WP_219308046.1	WP_100142969.1	WP_224431935.1	WP_226014241.1	WP_061798604.1	WP_042653202.1	WP_201496897.1
45	47	0.185	WP_011588775.1	WP_011279417.1	WP_008735844.1	WP_014995017.1	WP_062534530.1	WP_062843559.1	WP_004937500.1	WP_007373177.1	WP_025263731.1	WP_015444500.1	WP_017056618.1	WP_021020565.1	WP_011512488.1	WP_088905551.1	WP_094090728.1	WP_096296450.1,WP_096298468.1	WP_126169213.1	WP_042711868.1	WP_028387352.1	WP_004937500.1	WP_004729062.1	WP_143867908.1	WP_144891302.1,WP_144893689.1	WP_007373177.1	WP_000031534.1	WP_005176261.1	WP_164649122.1	WP_004893506.1	WP_173237220.1	WP_025263731.1	WP_054307927.1	WP_033115370.1	WP_203325810.1	WP_033644926.1	WP_206818888.1	WP_207324803.1	WP_004940928.1	WP_005008263.1	WP_219309864.1	WP_100142971.1	WP_224431937.1	WP_005305622.1	WP_061798702.1	WP_042653200.1	WP_201498171.1
45	47	0.167	WP_011589939.1	WP_011279477.1	WP_052269278.1	WP_014992461.1	WP_062534653.1	WP_062843622.1	WP_019456091.1	WP_064568230.1	WP_017458824.1	WP_010947731.1	WP_077680893.1	WP_021019823.1	WP_011512551.1	WP_088905162.1,WP_033539675.1	WP_094091656.1	WP_096299550.1	WP_126167635.1	WP_042712193.1	WP_028386125.1	WP_135638618.1	WP_004724261.1,WP_038151981.1	WP_143867226.1	WP_144890803.1	WP_149289378.1	WP_000437946.1	WP_005182498.1	WP_164647291.1	WP_163167081.1	WP_173237683.1	WP_086873216.1	WP_054305191.1	WP_198493542.1	WP_203324472.1	WP_047573680.1	WP_206818811.1	WP_207325657.1	WP_151869046.1	WP_005007579.1	WP_171057006.1	WP_221049565.1	WP_224432032.1	WP_010636181.1	WP_061798574.1	WP_042652089.1	WP_201498107.1
45	47	0.164	WP_011588571.1	WP_011279694.1	WP_008737664.1	WP_014994338.1	WP_062535106.1	WP_062843871.1	WP_019454557.1	WP_064567519.1	WP_017456171.1	WP_011946716.1	WP_046222833.1	WP_021020471.1	WP_011512797.1	WP_088904596.1	WP_094092265.1	WP_096298387.1	WP_126166930.1	WP_054804022.1	WP_028386575.1	WP_033633454.1	WP_038151265.1,WP_115333270.1	WP_143868534.1	WP_144889336.1	WP_007374127.1	WP_000073135.1	WP_016659465.1	WP_164647906.1	WP_163166972.1	WP_173237317.1	WP_086871895.1	WP_015671743.1	WP_041207482.1	WP_011759882.1	WP_019454557.1	WP_017409663.1	WP_207323017.1	WP_004935423.1	WP_005011799.1,WP_005012533.1	WP_004646117.1	WP_100143700.1	WP_042042903.1	WP_024941340.1	WP_061798083.1	WP_042653622.1	WP_201497828.1
45	47	0.139	WP_011589454.1	WP_011279598.1	WP_008733452.1	WP_014993180.1	WP_062534937.1	WP_062843760.1	WP_004941389.1	WP_043952673.1	WP_008502165.1	WP_010946462.1	WP_046223699.1	WP_088134302.1,WP_088133136.1	WP_011512688.1	WP_033538596.1	WP_094090387.1	WP_096297233.1	WP_126166147.1	WP_023481167.1	WP_028386306.1	WP_025303922.1	WP_004723937.1	WP_058500900.1	WP_144892519.1	WP_007370793.1	WP_000919132.1	WP_005179092.1	WP_164647600.1	WP_004815326.1	WP_173236622.1	WP_008502165.1	WP_062779203.1,WP_062779042.1	WP_042032171.1	WP_203326347.1	WP_025303922.1	WP_011707102.1	WP_207322270.1	WP_212515674.1	WP_005011075.1	WP_005103619.1	WP_100142834.1	WP_224432300.1	WP_005298078.1	WP_061796459.1	WP_042652815.1	WP_201497957.1
45	47	0.132	WP_011588434.1	WP_011280794.1	WP_008736768.1	WP_014994276.1	WP_062535851.1	WP_062844116.1	WP_019455759.1	WP_064568385.1,WP_064568098.1	WP_017458003.1	WP_015444805.1	WP_046223715.1	WP_088133448.1	WP_011514033.1	WP_033537563.1	WP_094091736.1	WP_096299044.1	WP_126166275.1	WP_076768870.1	WP_028386286.1	WP_004931955.1	WP_004724882.1	WP_185967338.1	WP_144889662.1	WP_007373231.1,WP_007373674.1	WP_001240969.1	WP_160241348.1	WP_164648886.1	WP_163166252.1	WP_173236148.1	WP_086870630.1	WP_054306198.1	WP_042030264.1	WP_203326469.1	WP_147881684.1	WP_039212963.1	WP_207325745.1	WP_004936801.1	WP_005010360.1	WP_219309552.1	WP_221049542.1	WP_042040754.1	WP_005303446.1	WP_061796721.1	WP_042654058.1	WP_201497497.1
45	47	0.13	WP_011588058.1	WP_227500355.1	WP_008739843.1	WP_014995546.1	WP_204247909.1	WP_062844994.1	WP_019453893.1	WP_007370874.1	WP_017458948.1	WP_015443925.1	WP_046223730.1	WP_088133377.1	WP_192941345.1	WP_088904716.1	WP_094089886.1	WP_096297499.1	WP_126167056.1	WP_023481155.1	WP_028386726.1	WP_015378709.1	WP_004724724.1	WP_058500518.1	WP_144889976.1	WP_007370874.1	WP_001094790.1	WP_171296441.1	WP_164647673.1	WP_103800258.1	WP_173238221.1	WP_017458948.1	WP_054306915.1	WP_042031799.1	WP_203323938.1	WP_033635500.1	WP_206819415.1	WP_207326058.1	WP_076032037.1,WP_212515368.1	WP_005008710.1,WP_005011890.1	WP_004645641.1	WP_208165586.1	WP_224432944.1	WP_201881766.1	WP_061796653.1	WP_042654276.1	WP_201497474.1
